subject,datavyu_bin,onset,offset,who_relation,placed_object,base_object,base_coder,Notes,,,,,,,,,,,,,,,,
25029,8,40000,44999,child_on,22,,KG,No SR,,,,,,,,,,,,,,,,
25029,9,45000,49999,child_on,22,31,KG,,,,,,,,,,,,,,,,,
25036,12,60000,64999,parent_on,22,24,KG,,,,,,,,,,,,,,,,,
25047,1,5000,9999,child_on,30,,KG,No SR,,,,,,,,,,,,,,,,
25047,2,10000,14999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25047,3,15000,19999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25047,16,80000,84999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25047,27,135000,139999,child_on,30,,KG,No SR,,,,,,,,,,,,,,,,
25047,28,140000,144999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25047,67,335000,339999,child_in,15,27,KG,,,,,,,,,,,,,,,,,
25047,80,400000,404999,child_in,5,,KG,No SR,,,,,,,,,,,,,,,,
25047,81,405000,409999,child_on,18,27,KG,,,,,,,,,,,,,,,,,
25047,81,405000,409999,parent_on,18,,KG,No SR,,,,,,,,,,,,,,,,
25047,82,410000,414999,child_in,18,27,KG,,,,,,,,,,,,,,,,,
25047,101,505000,509999,child_in,1,27,KG,,,,,,,,,,,,,,,,,
25047,107,535000,539999,child_on,24,,KG,No SR,,,,,,,,,,,,,,,,
25047,165,825000,829999,child_on,6,,KG,No SR,,,,,,,,,,,,,,,,
25047,166,830000,834999,child_in,6,20,KG,,,,,,,,,,,,,,,,,
25054,63,315000,319999,child_on,6,,KG,No SR,,,,,,,,,,,,,,,,
25054,64,320000,324999,child_on,6,2,KG,,,,,,,,,,,,,,,,,
25065,46,230000,234999,parent_in,4,27,KG,,,,,,,,,,,,,,,,,
25065,47,235000,239999,parent_in,1,27,KG,,,,,,,,,,,,,,,,,
25065,87,435000,439999,parent_on,20,,KG,No SR,,,,,,,,,,,,,,,,
25065,123,615000,619999,parent_in,11,,KG,No SR,,,,,,,,,,,,,,,,
25065,131,655000,659999,parent_in,11,17,KG,,,,,,,,,,,,,,,,,
25349,24,120000,124999,child_on,22,,KG,No SR,,,,,,,,,,,,,,,,
25349,25,125000,129999,child_on,22,2,KG,,,,,,,,,,,,,,,,,
25349,38,190000,194999,parent_on,11,,KG,No SR,,,,,,,,,,,,,,,,
25349,50,250000,254999,parent_on,12,,KG,No SR,,,,,,,,,,,,,,,,
25455,14,70000,74999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,14,70000,74999,parent_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,20,100000,104999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,20,100000,104999,parent_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,21,105000,109999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,35,175000,179999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,36,180000,184999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,36,180000,184999,parent_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,45,225000,229999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,52,260000,264999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,53,265000,269999,child_on,30,30,KG,,,,,,,,,,,,,,,,,
25455,99,495000,499999,parent_on,8,,KG,No SR,,,,,,,,,,,,,,,,
25455,100,500000,504999,child_on,8,1,KG,,,,,,,,,,,,,,,,,
25455,103,515000,519999,child_on,8,1,KG,,,,,,,,,,,,,,,,,
25455,143,715000,719999,child_on,27,31,KG,,,,,,,,,,,,,,,,,
25455,145,725000,729999,child_on,27,31,KG,,,,,,,,,,,,,,,,,
25455,150,750000,754999,child_in,31,,KG,No SR,,,,,,,,,,,,,,,,
25455,151,755000,759999,child_in,3,99,KG,,,,,,,,,,,,,,,,,
26605,22,110000,114999,child_on,12,12,WD,,,,,,,,,,,,,,,,,
26605,22,110000,114999,parent_on,12,12,WD,,,,,,,,,,,,,,,,,
26605,39,195000,199999,child_in,29,,WD,Nothing is under the hammer. The hammer itself is the base object in this case ,,,,,,,,,,,,,,,,
26605,40,200000,204999,child_in,24,29,WD,,,,,,,,,,,,,,,,,
26605,40,200000,204999,child_in,29,,WD,Hammer is base object ,,,,,,,,,,,,,,,,
26605,49,245000,249999,child_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,49,245000,249999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,55,275000,279999,child_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,55,275000,279999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,57,285000,289999,child_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,65,325000,329999,child_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,65,325000,329999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,66,330000,334999,child_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,78,390000,394999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,79,395000,399999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,80,400000,404999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,81,405000,409999,parent_on,30,30,WD,,,,,,,,,,,,,,,,,
26605,92,460000,464999,child_on,29,30,WD,,,,,,,,,,,,,,,,,
26605,92,460000,464999,parent_on,29,,WD,No SR,,,,,,,,,,,,,,,,
26605,93,465000,469999,child_on,29,30,WD,,,,,,,,,,,,,,,,,
26605,94,470000,474999,child_on,29,30,WD,,,,,,,,,,,,,,,,,
26605,100,500000,504999,child_on,29,30,WD,,,,,,,,,,,,,,,,,
26605,101,505000,509999,child_on,29,30,WD,,,,,,,,,,,,,,,,,
